"Timestamp","Hvor enkelt var det å navigere på nettsiden?","Skriv kun inn kjønn og alder","Din teknologiske erfaringsnivå?","Hvilket verkøy brukte du for å navigere på nettsiden?","Hvor tilfredsstillende var den visuelle utformingen av nettsiden for deg?","Hvor fornøyd er du med nettsidens responsivitet og lastetid?","Hvordan var den generelle opplevelsen av nettsidens layout og organisering av innholdet?","Hvordan vurderer du valg av bilder, fontvalg og tekststørrelser?","Hvor enig er du i at designet forbedret brukeropplevelsen på nettsiden?","Fungerte alle interaktive elementer og funksjoner som forventet?","Hva likte du mest med nettsiden?","Hva likte du minst med nettsiden?","La du merke til chatbotten i høyre hjørne?","Still chatbotten et eller flere spørsmål. Hvilke spørsmål stilte du?
Nb: Chatbotten fungerer ikke på eduroam-nettet. Hopp over dette spørsmålet dersom du bruker eduroam. ","Hvor fornøyd er du med svarene fra chatbotten?","Har du noen forslag til forbedringer på nettsiden eller andre kommentarer?"
"2024/04/17 6:55:56 pm EET","5","Mann 22","Høyt","","4","6","5","4","4","Ja","Strukturen på nettsiden","Knappene inni bildene","Ja","Hva er 2+2","2","Gjør knappene mer synlige"
"2024/04/17 6:59:46 pm EET","1","Mann 23","Høyt","","3","5","4","4","3","Ja","","","Ja","","5",""
"2024/04/17 7:00:14 pm EET","6","Kvinne 24","Gjennomsnittelig","","6","6","6","6","6","Ja","Hvor enkelt det var å navigere seg rundt","Logoen","Nei","","",""
"2024/04/17 7:06:15 pm EET","2","Mann 22","Høyt","","6","5","6","6","6","Nei","Lett å navigere, var også fin og strukturert","Den virka ikke helt ferdig, noen av knappene fungerte ikke(dette kan være meningen)","Nei","Hallo? Fungerer denne?","6","Den var fin"
"2024/04/17 7:10:39 pm EET","1","Mann 22","Høyt","","6","6","6","6","6","Ja","Design og brukervennlighet","Ingenting","Ja","","6","Nei"
"2024/04/17 7:12:05 pm EET","5","Jente, 23 år","Høyt","","5","5","4","6","5","Ja","Gode kontraster og enkel nettside som kan brukes av alle. ","På hovedsiden har dere noen boxer hvor dere presenter de forskjellige tjeneste, der trodde jeg at jeg kunne trykke på de forskjellige tjeneste og bli navigert til en side om den tjenesten. Men det var kun en boks for info, det fungerer fint men kanskje prøv å designe de litt annerledes sånn at brukeren forstår det uten å tro at man kan trykke på de feks. Ellers så kan det være at jeg har det oppe på mobil.  ","Ja","1.hvilke tjenester tilbyr dere? 
2. hva er deres epost? 
3. hvor holder dere til? ","6",""
"2024/04/17 7:13:27 pm EET","5","Mann 21","Høyt","","5","5","4","5","5","Ja","","","Nei","","4",""
"2024/04/17 7:38:26 pm EET","2","Mann (23)","Høyt","","4","4","4","4","4","Ja","Lett å navigere og finne kontakt informasjonen.","::hover effekten, kontrast mellom bakgrunnsbilde og tekst fargen.","Ja","1. Hvordan kan du hjelpe meg? 2. Gi meg noe råd og rips.","3","Fjern :hover effekten, heller legg til light/dark mode funksjonaliteten. Bruk accessibility verktøy for kontrast. Tren opp chatbotten. Legg til mellomrom mellom cards på «nyttig infomasjon» siden. Frister cards har veldig lite skrift størrelse."
"2024/04/17 8:22:38 pm EET","2","Kjønn: Mann, Alder: 21","Gjennomsnittelig","","3","5","4","3","3","Nei","+ Enkel navigasjon, lett å finne fram ønsket informasjon.

+ Fin slideshow over ulike partnere på hjemmesiden.","- Nettsidden har litt ukonsekvente fargevalg (https://www.flux-academy.com/blog/how-to-strategically-use-color-in-website-design).

- Hover effects på ikke-klikkbare elementer kan skape unødvendig støy, spesielt på telefon.","Ja","Hva driver selskapet med?, Når kan jeg ta kontakt?, 2+2?","4","Vær mer konsekvente på designvalgene dere gjør. F.eks. 
- noen bilder har rammer mens andre ikke har, 
- noen knapper har samme utseende men ikke samme hover effects, 
- noen titler er enten svart, hvit, grå, mørkeblå, 
- tekstelementene på kortene i hjemmesiden er ikke på linje osv.

Vær oppmerksom på at brukeren kan spørre chatboten urelaterte spørsmål og få svar."
"2024/04/17 8:24:39 pm EET","2","Mann 25","Høyt","","4","6","4","4","6","Ja","Rask
Chat boblen
","Nyttig informasjon siden
Mer info knappen i banner
Ønsker du å kontakte oss linje skiller på mobil ","Ja","Jeg vil snakke med en agent
Hva er nummer
Hva er telefonnummeret deres","4",""
"2024/04/17 8:36:28 pm EET","2","Kvinne 22 år","Lavt","","6","5","5","5","4","Ja","Likte informasjonssiden og introduksjonen av de forskjellige personene i teamet","Fargen","Ja","","5","Nei"
"2024/04/17 8:47:24 pm EET","6","Jente 21","Gjennomsnittelig","","5","5","6","5","6","Nei","Jeg likte hvor enkelt det var å navigere seg rundt, det var oversiktlig. ","Likte stortsett alt,  chatbotten ga meg ikke response.","Ja","Jeg skrev hei","4","Alt så veldig bra ut. Men kunne ha likt å få respons fra chatbot(men det ødela ikke for opplevelsen)."
"2024/04/17 8:47:59 pm EET","5","Kvinne 22 år","Gjennomsnittelig","","6","5","5","5","5","Nei","Jeg likte hvor enkelt det vare og navigere seg rundt det var oversiktlig ","Chatboten funket ikke helt vi fikk ikke respons tilbake, de forskjellige boksene funket ikke å klikke på liksom den tok deg ikke videre","Ja","Jeg skrev «hei» og «jeg trenger hjelp» men fikk opp  «det skjedde en feil, kjører serveren?»","3","Ja å fiske litt på chatboten og boksene sånn at man komme seg videre men alt til alt var nettsiden oversiktlig og fin:)"
"2024/04/17 9:14:47 pm EET","3","Man 31","Gjennomsnittelig","","4","5","3","4","4","Ja","Brukervennlig, let å navigere rundt.","Skrift størrelse. Kun  Bruk av etos , ikke noe patos. For eks. Kommentere fra personer som dere har hjulpet. ","Nei","","","Mer fargerikt nettside. "
"2024/04/17 9:15:39 pm EET","2","Kvinne 30","Gjennomsnittelig","","5","6","5","5","4","Ja","Ryddig - lett å finne frem i menyen. Pluss med bilder av personene. Føler seg velkommen ved å besøke nettsiden. Fint med skjema for å be om konsultasjon.","- Farget boks når man trykker på teksten - da hopper teksten litt også. 
- en annen font på overskriftene?","Nei","Når mva oppgaven skal leveres og hva nummeret er","6","Se over."
"2024/04/17 9:20:07 pm EET","6","Sabrina","Lavt","","6","6","5","6","6","Ja","Ryddig og lett å finne informasjon ","Trodde jeg kunne trykke inn på kolone med regnskap etc. forstod ikke det var bare tekst da det var merket i boks ","Ja","Stilte ikke","","Nei"
"2024/04/17 9:21:45 pm EET","1","Hanafi Abdi","Gjennomsnittelig","","6","6","6","6","6","Ja","Om alt. Funker veldig bra","Ingenting ","Ja","Stilte ikke noe spørsmål. Liker bedre å kontakte på telefon","6","Nei. Alt er ok"
"2024/04/17 9:32:21 pm EET","1","Kvinne 27","Høyt","","5","6","5","6","5","Nei","Brukervennligheten og logisk plassering av elementer i nettsiden","God anvending av universal utforming, men bruk av kontrast i enkelte tilfeller kunne vært bedre. Når man trykket på noen elementer var feks. bakgrunn mørkegrå og teksten lysegrå, der mener jeg det kunne vært bedre kontrast (så på nettsiden fra mobil ios).","Nei","1) Hva heter du
2) Frister
3) Hva er deres frister","3","Nettsiden deres er kjappere enn originalen.
Dere har også organisert nettsiden slik at navbaren deres er mer oversiktlig enn den originale.
Dere har økt kontrasten nederst i nettsiden som gjør at teksten er mer leselig.

Teksten i chatbotten kunne vært større og tidspunkt på chat kunne stått ved siden av chatten istedenfor inni chatboksen etter min personlige mening.

Krysset av for at ikke alle interaktive elementer fungerte som forventet (dette tilfellet på PC) fordi jeg trodde noen av boksene «regnskap», «rådgivning», osv skulle åpne en annen side dersom jeg klikket på dem, men det er ikke en negativ opplevelse for meg som bruker at det ikke skjedde som forventet der.

Skriften på signaturen øverst til venstre kunne vært større for bedre universal utforming.

Hadde forventet at «mer info» under «Dine ambisjoner…» hadde gitt meg mer info om tjenestene til MN og hvordan få tak i disse, enn ansatte i MN."
"2024/04/17 9:39:45 pm EET","6","Kvinne, 23","Høyt","","6","6","6","6","5","Ja","Det var enkelt å finne ting i nettsiden. ","","Ja","","6",""
"2024/04/17 9:41:40 pm EET","6","Male 21","Høyt","Mobil","5","6","6","4","5","Ja","Nettsiden","Mye tekst enkelte steder","Ja","","",""
"2024/04/17 9:42:09 pm EET","5","Kvinne, 27","Gjennomsnittelig","Mobil","5","6","5","5","5","Ja","Lett å navigere mellom tilbud og informasjon","","Ja","Spurte om blant annet åpningstider ","4","Misforstod «rådgivning, veiledning» m.m. som knapper pga layout"
"2024/04/17 9:44:10 pm EET","6","Kvinne, 22","Gjennomsnittelig","Pc","6","6","6","6","6","Ja","Alt","","Ja","","6","Alt var perfekt "
"2024/04/17 9:44:47 pm EET","2","Mann, 24 år","Gjennomsnittelig","","4","5","4","4","3","Ja","Fint og oversiktlig ","Ikke noe spesifikt, men et forslag er å kanskje ha en info side om partnerne deres. Hvis man f.eks. trykker på ""Masala politics"", så bør informasjon dukke opp om dem. Det trenger nødvendigvis ikke å være mye, men kanskje nok til at man blir bedre kjent med partnerne deres.","Nei","Hva er åpningstidene deres?","6","Svaret til chatbotten har mindre skriftstørrelse, men tidspunktet som meldingen ble sendt på har større skriftstørrelse. Personlig synes jeg det burde vært det motsatte, slik at svaret er hevet og mer synlig. "
"2024/04/17 9:48:52 pm EET","5","Kvinne","Gjennomsnittelig","Mobil","2","5","2","3","4","Ja","Det er lett å finne det man ser etter","Farge på nettsiden, litt for enkelt","Nei","","",""
"2024/04/17 9:52:50 pm EET","6","Kvinne 33","Høyt","Mobil","5","5","5","5","5","Nei","Fargen og organisering av nettside. Enkelt å bruke! ","At boksen ikke fungerte som den skal ","Ja","","",""
"2024/04/17 9:55:04 pm EET","3","24 mann","Høyt","Mobil","6","6","6","6","6","Ja","Forsiden","Drop shadow / hover state på litt for mange elementer, trenger det ikke på all info tekst","Nei","","","Dropp en del av overlegget når man berører info tekst. Og istedenfor å endre farget på selve komponent så ser det bedre ut med tynn grå skygge rundt (box shadow)"
"2024/04/17 9:55:43 pm EET","6","Kvinne, 23 år","Gjennomsnittelig","Mobil","5","6","6","6","6","Ja","Alt","Ingenting","Ja","","",""
"2024/04/17 10:03:28 pm EET","5","Kvinne 45","Høyt","Mobil","5","6","5","5","6","Ja","Enkelt og oversiktlig, behagelig å se på","Ikke mitt fagfelt","Nei","","",""
"2024/04/17 10:21:16 pm EET","5","Kvinne, 25","Gjennomsnittelig","Mobil","5","5","5","5","5","Ja","Ryddig, ikke for mye detaljer","Kanskje at alternativene i menyfunksjonen ikke var så enkelt tilgjengelige. Men det var egentlig greit så dette er bare pirk","Nei","","",""
"2024/04/17 10:49:08 pm EET","5","Kvinne 23","Gjennomsnittelig","Mobil","4","5","4","4","5","Ja","Ryddig og velfungerende ","Det er noen kontraster som ikke er så tilfredsstillende","Ja","Hvor kan jeg nå dere?","5","Se litt på ujevne overganger, boksene trenger ikke å være så tykke, bruk mindre kontrast fra grå til hvit? Bruk sånn gjennomsiktig effekt om dere vil. Ellers så ser det veldig bra ut!!"
"2024/04/17 11:11:05 pm EET","4","Mann 23","Gjennomsnittelig","Mobil","4","5","4","5","4","Ja","Enkel, effektiv og informerende ","Kan heve det som er mest relevant for nettsiden","Nei","","",""
"2024/04/17 11:11:26 pm EET","5","Mann, 26 år","Høyt","Mobil","5","6","5","4","5","Ja","info om teamet","mangler info som f eks åpningstid osv","Ja","Når er åpningstider?","5","Når man trykker på boksene med info de får sort bakgrunn, da blir teksten vanskeligere å lese."
"2024/04/17 11:31:02 pm EET","6","Kvinne 24","Gjennomsnittelig","Mobil","4","6","4","4","4","Ja","Enkelt design ","
usikker","Nei","Kan du gi meg nyttig informasjon?
","5","Dei bilda på framsida som utvider seg når ein trykker på dei er irriterande og ein trur dei er ein link til ein kul plass men det einaste som skjer er at dei utvider seg 1  mm!!!!!!!! Dei som flyttar seg litt når ein tek musa op dei er og irriterande 

Under ""nyttig informasjon"" ser det teit ut med ""frister"". ""tidsfrister"" er kanskje mindre teit "
"2024/04/17 11:41:55 pm EET","5","Kvinne, 27 år","Gjennomsnittelig","Pc","4","5","5","6","4","Nei","Enkelt språkbytte mellom norsk og engelsk som fortsatt fungerte ved bytte av side, samt ""våre partnere""-animasjonen.","Litt skrivefeil her og der (reduserer helhetsinntrykket noe).","Nei","""Hva er meningen med livet?"", ""Kan dere pensjon?"", ""Hva slags spørsmål pleier du å få?""","3","En del på siden virker ""klikkbart"" uten å være det, og ingen av excel-filene for nedlastning kan åpnes. Det ville heller ikke skadet med litt mer farger, men fungerer ellers greit med gråtoner. Alt i alt virker siden bra; foreslåtte forbedringer er hovedsakelig småplukk."
"2024/04/18 12:14:26 am EET","6","Male 38","Høyt","Mobil","5","5","5","5","5","Ja","","","Nei","","",""
"2024/04/18 12:18:30 am EET","6","kvinne, 25","Gjennomsnittelig","Pc","6","6","6","6","6","Ja","Likte at det er veldig kort og konkret informasjon. Hvor det viste bilder av teamet. Det var enkelt å finne kontakt personer. Det var fint å ha nettsiden på engelsk i tillegg.","Det jeg likte minst er fargen av nettsiden som var litt kjedelig, men på den andre siden så var det tydelig å se. ","Ja","Jeg stilte hvordan de kunne hjelpe meg med problemet mitt.","6","Som sakt tidligere kunne ha brukt andre farger på noen felter. "
"2024/04/18 7:34:31 am EET","6","Mann 25","Gjennomsnittelig","Mobil","5","6","5","6","5","Ja","","","Nei","Spurte om firmaet kunne hjelpe meg med å fylle ut skattemeldingen.","4",""
